INFO:root:1586702207.560062_model_moe_transformer.pt
INFO:root:Loading cached dataset...
INFO:root:Gating function is: moe
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch 22400 | lr 0.00 | ms/batch 227.84 | loss 13.74 | aux_loss  0.17 | ppl 924817.78
INFO:root:| epoch   1 | batch 22528 | lr 0.00 | ms/batch 229.86 | loss 13.73 | aux_loss  0.17 | ppl 920497.77
INFO:root:| epoch   1 | batch 22656 | lr 0.00 | ms/batch 230.13 | loss 13.74 | aux_loss  0.17 | ppl 929150.25
INFO:root:| epoch   1 | batch 22784 | lr 0.00 | ms/batch 232.92 | loss 13.74 | aux_loss  0.16 | ppl 931286.91
INFO:root:| epoch   1 | batch 22912 | lr 0.00 | ms/batch 232.64 | loss 13.75 | aux_loss  0.17 | ppl 933176.53
INFO:root:| epoch   1 | batch 23040 | lr 0.00 | ms/batch 231.04 | loss 13.74 | aux_loss  0.18 | ppl 923941.95
INFO:root:| epoch   1 | batch 23168 | lr 0.00 | ms/batch 229.08 | loss 13.74 | aux_loss  0.19 | ppl 928391.48
INFO:root:| epoch   1 | batch 23296 | lr 0.00 | ms/batch 229.42 | loss 13.73 | aux_loss  0.17 | ppl 917669.58
INFO:root:| epoch   1 | batch 23424 | lr 0.00 | ms/batch 231.10 | loss 13.74 | aux_loss  0.18 | ppl 929073.23
INFO:root:| epoch   1 | batch 23552 | lr 0.00 | ms/batch 230.20 | loss 13.74 | aux_loss  0.18 | ppl 927171.42
INFO:root:| epoch   1 | batch 23680 | lr 0.00 | ms/batch 231.22 | loss 13.75 | aux_loss  0.17 | ppl 932574.74
INFO:root:| epoch   1 | batch 23808 | lr 0.00 | ms/batch 229.98 | loss 13.74 | aux_loss  0.18 | ppl 931436.77
INFO:root:| epoch   1 | batch 23936 | lr 0.00 | ms/batch 229.51 | loss 13.73 | aux_loss  0.18 | ppl 919980.85
INFO:root:| epoch   1 | batch 24064 | lr 0.00 | ms/batch 230.45 | loss 13.74 | aux_loss  0.17 | ppl 930280.39
INFO:root:| epoch   1 | batch 24192 | lr 0.00 | ms/batch 231.16 | loss 13.74 | aux_loss  0.18 | ppl 924866.82
INFO:root:| epoch   1 | batch 24320 | lr 0.00 | ms/batch 230.70 | loss 13.75 | aux_loss  0.16 | ppl 932463.94
INFO:root:| epoch   1 | batch 24448 | lr 0.00 | ms/batch 230.11 | loss 13.74 | aux_loss  0.18 | ppl 931527.01
INFO:root:| epoch   1 | batch 24576 | lr 0.00 | ms/batch 229.67 | loss 13.74 | aux_loss  0.18 | ppl 927559.86
INFO:root:| epoch   1 | batch 24704 | lr 0.00 | ms/batch 230.75 | loss 13.76 | aux_loss  0.18 | ppl 943180.14
INFO:root:| epoch   1 | batch 24832 | lr 0.00 | ms/batch 230.77 | loss 13.74 | aux_loss  0.18 | ppl 923841.91
INFO:root:| epoch   1 | batch 24960 | lr 0.00 | ms/batch 230.24 | loss 13.74 | aux_loss  0.17 | ppl 929124.06
INFO:root:| epoch   1 | batch 25088 | lr 0.00 | ms/batch 229.16 | loss 13.75 | aux_loss  0.18 | ppl 939344.08
INFO:root:| epoch   1 | batch 25216 | lr 0.00 | ms/batch 229.38 | loss 13.74 | aux_loss  0.18 | ppl 929853.89
INFO:root:| epoch   1 | batch 25344 | lr 0.00 | ms/batch 232.08 | loss 13.74 | aux_loss  0.19 | ppl 931052.95
